name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Famous Boutque&Beauty Center,"Fatih, Adnan Menderes Bulvarı 30020 sokak 29/b, 33200 Mezitli/Mersin",,(0324) 359 03 00,3,5.0,36.7587506,34.4052252
AYNUR KAÇAMAKLI BEAUTY CENTER,"Korukent, 239.CADDE B2 BLOK KAT 1 NO 1, 33230 Toroslar/Mersin",,0533 037 41 71,26,5.0,36.8542825,34.4658079
beauty science,"Pirireis, 33110 Yenişehir/Mersin",beautyscience.com.tr,0535 926 35 05,11,5.0,36.8542825,34.4658079
Hasret Kızılhan Beauty House,"Menteş, 586 b No:7, 33010 Yenişehir/Mersin",hasretkizilhan.com,0553 678 33 35,38,4.9,36.8542825,34.4658079
LEYLA ÇOBAN BEATY CENTER,"Cumhuriyet, D400, 33110 Yenişehir/Mersin",,0541 640 04 49,2,5.0,36.8542825,34.4658079
Asra Beauty Lounge Mersin Şubesi,"Çiftlikköy, 3257. Sk özdikerler Corona sitesi, 33110 Yenişehir/Mersin",instagram.com,0554 023 19 33,31,5.0,36.7749828,34.3941145
MES Güzellik Merkezi Lazer - Tırnak,"İnönü, Abdurrahman Karaoğlları apartmanı, 4 sokak No:11A, 33130 Yenişehir/Mersin",,0551 274 33 33,47,4.7,36.7749828,34.3941145
Birsen Aktaş Beauty Center,"İnönü, addax yanı, Gazi Mustafa Kemal Blv., 33000 Yenişehir/Mersin",,0532 249 85 33,11,4.5,36.7749828,34.3941145
Hatice İnan Beauty Center,"İhsaniye, 4934. Sk. No:1, 33070 Akdeniz/Mersin",,,7,4.4,36.8016104,34.474804
Mezitli Güzellik Salonu | Eda Gür Beauty Center,"Akdeniz, Best Life, Akdeniz Cd. Sitesi No:21, 33340 Mezitli/Mersin",instagram.com,0533 261 62 43,17,5.0,36.7302283,34.355836
Turkuaz Beauty Center,"Çağdaşkent Mahallesi 93084. 93084sokak özlem apt altı 31/B, 33230 Toroslar",,0553 665 52 62,1,5.0,36.8399789,34.4730051
