name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Islamic Center of San Francisco (ICSF),"400 Crescent Ave, San Francisco, CA 94110, United States",icofsf.org,+1 415-624-3754,198,4.9,37.7137221,-122.5093617
Masjid al-Tawheed,"1227 Sutter St, San Francisco, CA 94109, United States",facebook.com,,464,4.8,37.7137221,-122.5093617
San Francisco Muslim Community Center,"4760 Mission St, San Francisco, CA 94112, United States",wordpress.com,+1 415-337-1019,39,4.9,37.7219806,-122.581426
AlSabeel Masjid Noor Al-Islam,"118 Jones St, San Francisco, CA 94102, United States",alsabeel.org,+1 415-292-9709,171,4.7,37.7219806,-122.581426
Daly City Islamic Center,"7330 Mission St, Daly City, CA 94014, United States",dcmosque.com,+1 650-888-1938,46,4.8,37.7219806,-122.581426
Darussalam Mosque,"San Francisco, CA 94103, United States",islamsf.org,,14,5.0,37.7219806,-122.581426
Bay View Islamic Unity Center,"1411 Thomas Ave, San Francisco, CA 94124, United States",weebly.com,+1 415-822-6400,25,4.2,37.7219806,-122.581426
Fiji Jamaat-ul-Islam Mosque of America,"373 Alta Vista Dr, South San Francisco, CA 94080, United States",fjia.org,+1 650-770-9136,91,4.8,37.7219806,-122.581426
Muhammad's Mosque,"5048 3rd St, San Francisco, CA 94124, United States",salvationarmyusa.org,+1 415-655-9251,7,4.1,37.7219806,-122.581426
