name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Nusr-Et Steakhouse Dubai,Restaurant Village Four Seasons Resort شارع شاطئ - Jumeirah - Jumeirah 2 - Dubai - United Arab Emirates,nusr-et.com.tr,+971 4 407 4100,5787,4.0,25.1889076,55.1469783
ILOLI - Restaurant in Dubai Marina Walk,Dubai Marina Walk - Al Daa'i St - Dubai Marina - Dubai - United Arab Emirates,ilolidubai.com,+971 50 707 7917,578,4.8,25.0857253,55.0005684
CÉ LA VI,"Tower 2 - Level 54, Address Sky View Hotel - Sheikh Mohammed bin Rashid Blvd - Dubai - United Arab Emirates",celavi.com,+971 4 582 6111,5573,4.5,25.2015141,55.1269212
